date,time,price
12/7/21,234,177.81
12/8/21,235,173.65
12/9/21,236,155.76
12/10/21,237,159.01
12/13/21,238,136.88
12/14/21,239,147.69
12/15/21,240,148.59
12/16/21,241,144.59
12/17/21,242,155.64
12/20/21,243,157.14
12/21/21,244,158.12
12/22/21,245,154
12/23/21,246,152.14
12/27/21,247,148.31
12/28/21,248,146.46
12/29/21,249,153.93
12/30/21,250,155.33
12/31/21,251,148.39
1/3/22,252,152.84
1/4/22,253,148.91
1/5/22,254,129.37
1/6/22,255,131.03
1/7/22,256,140.62
1/10/22,257,131.15
1/11/22,258,130.3
1/12/22,259,128.06
1/13/22,260,122.48
1/14/22,261,116.65
1/18/22,262,108.91
1/19/22,263,106.57
1/20/22,264,102.67
1/21/22,265,106.36
1/24/22,266,100.15
1/25/22,267,99.79
1/26/22,268,103.26
1/27/22,269,93.52
1/28/22,270,97.91
1/31/22,271,108.93
2/1/22,272,112.6
2/2/22,273,100.04
2/3/22,274,99.23
2/4/22,275,102.34
2/7/22,276,102.34
2/8/22,277,115.6
2/9/22,278,124.29
2/10/22,279,122.47
2/11/22,280,124.25
2/14/22,281,117.09
2/15/22,282,126.16
2/16/22,283,128.33
2/17/22,284,123.41
2/18/22,285,121.53
2/22/22,286,118.06
2/23/22,287,114.87
2/24/22,288,124.58
2/25/22,289,118.58
2/28/22,290,123.34
3/1/22,291,119.02
3/2/22,292,121.97
3/3/22,293,118.41
3/4/22,294,111.66
3/7/22,295,99.35
3/8/22,296,103.01
3/9/22,297,105.21
3/10/22,298,100.56
3/11/22,299,92.69
3/14/22,300,78.11
3/15/22,301,82.64
3/16/22,302,86.86
3/17/22,303,87.7
3/18/22,304,90.79
3/21/22,305,94.2
3/22/22,306,123.14
3/23/22,307,141
3/24/22,308,142.39
3/25/22,309,151.95
3/28/22,310,189.59
3/29/22,311,179.9
3/30/22,312,166.85
3/31/22,313,166.58
