season,home_team,away_team,home_score,away_score,location
2018,USC,Oklahoma,83,85,0
2018,North Carolina St,Kansas City,88,69,1
2018,Nevada,TCU,80,84,0
2018,Clemson,Samford,81,59,1
2018,Arkansas,Minnesota,95,79,1
2018,Creighton,Nebraska,75,65,1
2018,Maryland,Gardner-Webb,82,60,1
2018,Wisconsin,Marquette,63,82,1
2018,Delaware,Notre Dame,68,92,1
2018,Weber St,BYU,68,74,0
2018,Cal St-Northridge,Loyola Marymount,57,74,1
2018,Texas A&M,Prairie View A&M,73,53,1
2018,Tennessee,Lipscomb,81,71,1
2018,South Carolina,Coastal Carolina,80,78,1
2018,Missouri,Green Bay,100,77,1
2018,Middle Tenn St,Ole Miss,77,58,1
2018,Monmouth,Kentucky,76,93,0
2018,Auburn,UAB,85,80,1
2018,Cincinnati,Florida,60,66,0
2018,UConn,Coppin St,72,59,1
2018,St Louis,Houston,58,77,1
2018,Xavier,Colorado,96,69,1
2018,San Diego St,California,62,63,1
2018,UMass,Providence,72,63,1
2018,Seton Hall,VCU,90,67,1
2018,Western Illinois,WI-Milwaukee,90,69,1
2018,Loyola-Chicago,Norfolk St,80,52,1
2018,George Mason,NC-Central,77,65,1
2018,Wright St,Kent St,63,54,1
2018,Old Dominion,Bowling Green,88,46,1
2018,Northern Illinois,Central Conn St,61,55,1
2018,GA-Southern,Savannah St,102,91,1
2018,Detroit Mercy,Western Michigan,79,87,1
2018,Oakland,Chicago St,82,50,1
2018,New Mexico,New Mexico St,62,65,1
2018,St Marys,Seattle,97,73,1
2018,Lehigh,Mt St Marys,75,60,1
2018,Sacred Heart,Lafayette,62,50,1
2018,Towson,UMBC,78,65,1
2018,Holy Cross,New Hampshire,62,58,1
2018,Boston College,Duke,89,84,1
2018,Michigan,UCLA,78,69,1
2018,Ohio St,William & Mary,97,62,1
2018,Butler,Youngstown St,95,67,1
2018,Duquesne,Delaware St,97,48,1
2018,Memphis,Bryant,90,72,1
2018,UCF,Southern U,76,60,1
2018,VMI,Longwood,81,70,1
2018,Miami-OH,IPFW,81,73,1
2018,Central Michigan,Tennessee Tech,74,69,1
2018,Marist,Stetson,76,79,1
2018,Louisville,Indiana,71,62,1
2018,Syracuse,Colgate,72,58,1
2018,Evansville,Canisius,65,58,1
2018,Ball St,Valparaiso,71,70,1
2018,Fordham,St Francis-NY,76,68,1
2018,St Bonaventure,Yale,75,67,1
2018,Akron,Appalachian St,94,89,1
2018,Georgia St,Montana,71,68,1
2018,Brown,MA-Lowell,89,75,1
2018,Temple,St Josephs,81,78,1
2018,Georgetown,North Carolina A&T,83,74,1
2018,Stephen F Austin,Rice,81,62,1
2018,Denver,SC-Upstate,84,69,1
2018,Dayton,Pennsylvania,70,78,1
2018,TX-Arlington,FL-Gulf Coast,78,85,1
2018,Penn St,George Washington,74,54,1
2018,Oklahoma St,Wichita St,66,78,1
2018,IL-Chicago,DePaul,55,65,1
2018,Furman,South Carolina St,101,72,1
2018,Mercer,Florida A&M,82,64,1
2018,Illinois St,Murray St,72,78,1
2018,Loyola-MD,Binghamton,64,77,1
2018,Montana St,UC-Santa Barbara,69,91,1
2018,Northeastern,Vermont,71,67,1
2018,Boise St,Sacramento St,77,54,1
2018,American U,Howard,74,63,1
2018,NJIT,Iona,70,74,1
2018,Abilene Christian,Texas St,72,68,1
2018,Michigan St,Southern Utah,88,63,1
2018,Drake,NE-Omaha,93,74,1
2018,Rutgers,Fairleigh Dickinson,92,54,1
2018,Toledo,Marshall,87,93,1
2018,Manhattan,Morgan St,80,66,1
2018,Rider,Hofstra,82,88,1
2018,Louisiana Tech,Jackson St,91,62,1
2018,Siena,Albany,69,74,1
2018,Pittsburgh,West Virginia,60,69,1
2018,Kansas St,Tulsa,54,61,0
2018,Utah,Utah St,77,67,1
2018,Central Arkansas,AR-Little Rock,69,54,1
2018,UTSA,Houston Christian,87,71,1
2018,North Texas,McNeese St,85,47,1
2018,North Dakota,North Dakota St,79,88,1
2018,Southern Illinois,SE Missouri St,69,75,1
2018,TX-Rio Grande,UC-Irvine,73,59,1
2018,UTEP,Washington St,76,69,1
2018,Grand Canyon,Grambling St,87,53,1
2018,Wyoming,Pacific,86,72,1
2018,Pepperdine,Long Beach St,71,78,1
2018,Portland,San Jose St,64,55,1
2018,San Diego,Northern Arizona,79,51,1
2018,Santa Clara,Portland St,84,87,1
2018,Arizona,Alabama,88,82,1
2018,Oregon St,AR-Pine Bluff,85,58,1
2018,Cal St-Bakersfield,Idaho,66,55,1
2018,Cal St-Fullerton,Utah Valley St,91,83,1
2018,Cal Poly,Fresno St,63,83,1
2018,UNLV,Illinois,89,82,1
2018,Jacksonville St,LA-Monroe,75,56,1
2018,Virginia Tech,MD-Eastern Shore,93,40,1
2018,Southern Miss,Troy,89,71,1
2018,Columbia,Navy,68,73,1
2018,Tulane,Florida St,53,72,0
2018,Kansas,Arizona St,85,95,1
2018,Villanova,La Salle,77,68,1
2018,Chattanooga,Charlotte,64,50,1
2018,South Dakota,Eastern Washington,75,73,1
2018,Ohio,Western Kentucky,89,84,1
2018,Drexel,Robert Morris,60,74,0
2018,Niagara,St Francis-PA,87,93,1
2018,SIU-Edwardsville,South Alabama,76,75,1
2018,LIU-Brooklyn,Fairfield,72,76,1
2018,Oral Roberts,Missouri St,73,66,1
2018,Iowa,Southern U,91,60,1
2018,LSU,NC-Wilmington,97,84,1
2018,Iowa St,Alcorn St,78,58,1
2018,Northern Kentucky,Eastern Kentucky,91,63,1
2018,Purdue,IUPUI,86,61,1
2018,Washington,Gonzaga,70,97,1
2018,Richmond,James Madison,74,71,1
2018,Hartford,Sacred Heart,86,72,1
2018,Louisville,Bryant,102,59,1
2018,Northwestern,Chicago St,96,31,1
2018,South Florida,Florida Intl,53,65,1
2018,Vermont,Siena,81,57,1
2018,Florida A&M,North Florida,89,101,1
2018,Minnesota,Drake,68,67,1
2018,DePaul,Alabama A&M,83,59,1
2018,Grand Canyon,NC-Central,64,59,1
2018,Oregon,TX-Southern,74,68,1
2018,George Mason,GA-Southern,51,74,1
2018,St Louis,Murray St,69,55,1
2018,Louisiana Tech,Louisiana,71,75,1
2018,Stony Brook,Hofstra,81,84,1
2018,South Carolina St,Charleston Southern,91,88,1
2018,Bethune-Cookman,Cal Poly,67,53,1
2018,Oregon St,Jacksonville St,70,69,1
2018,Boston College,Columbia,81,66,1
2018,Rutgers,Fordham,75,63,1
2018,Cincinnati,Mississippi St,65,50,1
2018,UCF,SE Louisiana,61,53,1
2018,Seton Hall,St Peters,84,61,1
2018,Indiana St,Green Bay,85,63,1
2018,St Francis-NY,Army,64,76,1
2018,Princeton,Monmouth,69,58,1
2018,Iona,Yale,83,67,1
2018,UMBC,Coppin St,81,74,1
2018,Colgate,NJIT,87,76,1
2018,Colorado,San Diego,59,69,1
2018,South Dakota St,North Dakota,99,63,1
2018,LA-Monroe,Grambling St,59,57,1
2018,Alabama St,Tennessee St,45,64,1
2018,Texas,Michigan,52,59,1
2018,Memphis,Albany,67,58,1
2018,Wyoming,Eastern Washington,93,88,1
2018,Texas A&M,Savannah St,113,66,1
2018,Ole Miss,Sam Houston St,82,69,1
2018,Duquesne,Miss Valley St,73,49,1
2018,Belmont,WI-Milwaukee,82,63,1
2018,Alabama A&M,Southern Miss,54,69,1
2018,MA-Lowell,Boston U,87,82,1
2018,Temple,Villanova,67,87,1
2018,NC-Greensboro,NC-Wilmington,71,58,1
2018,North Florida,Florida Intl,87,85,1
2018,Illinois,Longwood,92,45,1
2018,Wisconsin,Western Kentucky,81,80,1
2018,LSU,Houston,80,77,1
2018,SMU,New Orleans,79,66,1
2018,NE-Omaha,Arkansas St,77,74,1
2018,Southern Illinois,Jackson St,69,51,1
2018,Bradley,AR-Little Rock,86,46,1
2018,Texas Tech,Kennesaw St,82,53,1
2018,Northern Colorado,Denver,83,63,1
2018,Boise St,Grand Canyon,85,80,1
2018,Oregon,Portland St,95,84,1
2018,Fresno St,AR-Pine Bluff,78,52,1
2018,Northern Arizona,South Dakota,77,90,1
2018,Southern U,Florida A&M,68,50,1
2018,South Florida,Bethune-Cookman,83,63,1
2018,Campbell,Citadel,87,77,1
2018,Northwestern,Valparaiso,84,50,1
2018,Tulsa,Prairie View A&M,77,73,1
2018,NC-Central,McNeese St,77,71,1
2018,Baylor,TX-Southern,99,68,1
2018,USC,Santa Clara,82,59,1
2018,North Carolina A&T,Tennessee St,64,54,1
2018,Sam Houston St,AR-Little Rock,57,55,1
2018,Charleston Southern,Eastern Kentucky,65,70,1
2018,Colorado,South Dakota St,112,103,1
2018,Creighton,MD-Eastern Shore,87,36,1
2018,IL-Chicago,Dartmouth,76,60,1
2018,Stanford,Denver,75,62,1
2018,San Francisco,UC-Davis,74,61,1
2018,Gonzaga,North Dakota,89,83,1
2018,Belmont,Pepperdine,79,62,1
2018,Missouri,North Florida,85,51,1
2018,Ole Miss,Illinois St,97,101,1
2018,UMass,Georgia,72,62,1
2018,Troy,Arkansas,63,88,0
2018,Middle Tenn St,Auburn,70,76,0
2018,SE Louisiana,Grambling St,67,68,1
2018,Louisiana,New Orleans,87,65,1
2018,Western Kentucky,Indiana St,81,65,1
2018,WI-Milwaukee,Loyola-Chicago,73,56,1
2018,Dayton,Georgia St,88,83,1
2018,VCU,Bucknell,85,79,1
2018,Long Beach St,Eastern Michigan,80,85,1
2018,Marshall,Ohio,99,96,1
2018,Florida Intl,James Madison,67,76,1
2018,Longwood,Cornell,62,69,1
2018,South Carolina St,Jacksonville,83,74,1
2018,Alabama St,Winthrop,80,88,1
2018,St Marys,UC-Irvine,73,66,1
2018,Memphis,Louisville,72,81,0
2018,North Carolina St,NC-Greensboro,76,81,1
2018,Detroit Mercy,Michigan,58,90,0
2018,Butler,Purdue,67,82,0
2018,Rutgers,Seton Hall,71,65,1
2018,George Washington,Miami-FL,50,59,1
2018,Georgetown,Syracuse,79,86,1
2018,Kentucky,Virginia Tech,93,86,1
2018,Florida St,Oklahoma St,70,71,0
2018,Virginia,Davidson,80,60,1
2018,DePaul,Northwestern,60,62,1
2018,Drake,Iowa,64,90,0
2018,Pittsburgh,McNeese St,72,51,1
2018,Xavier,East Tennessee St,68,66,1
2018,Texas,Louisiana Tech,75,60,1
2018,IPFW,Stetson,88,84,1
2018,Buffalo,Robert Morris,86,70,1
2018,Toledo,Wright St,69,77,1
2018,Akron,Miss Valley St,81,63,1
2018,Notre Dame,Indiana,77,80,0
2018,Southern Utah,Central Michigan,86,80,1
2018,Jacksonville St,SC-Upstate,77,61,1
2018,Chicago St,Bradley,58,84,1
2018,UAB,Alabama A&M,90,58,1
2018,UCLA,Cincinnati,63,77,1
2018,Oakland,Michigan St,73,86,0
2018,Wichita St,Oklahoma,83,91,1
2018,California,Cal St-Fullerton,95,89,1
2018,Incarnate Word,Kansas City,77,73,1
2018,Evansville,Austin Peay,78,74,1
2018,Vermont,St Bonaventure,79,81,0
2018,Rhode Island,Coll of Charleston,68,62,1
2018,NJIT,Fairleigh Dickinson,71,68,1
2018,Rider,Wagner,90,84,1
2018,Norfolk St,Niagara,82,85,1
2018,South Alabama,Eastern Illinois,63,52,1
2018,Florida,Clemson,69,71,0
2018,LSU,Stephen F Austin,82,83,1
2018,Temple,Drexel,63,60,1
2018,Cal St-Bakersfield,GA-Southern,55,53,1
2018,Ohio St,Appalachian St,80,67,1
2018,Fresno St,Oregon,61,68,1
2018,Washington St,IUPUI,72,59,1
2018,Wyoming,TX-Southern,72,66,1
2018,Tulsa,Manhattan,80,66,1
2018,Northern Iowa,Iowa St,65,76,0
2018,Albany,Canisius,68,65,1
2018,Florida Atlantic,Arkansas St,63,64,1
2018,Cal Poly,Princeton,60,80,1
2018,Kennesaw St,Bethune-Cookman,81,74,1
2018,Illinois,New Mexico St,69,74,0
2018,Nebraska,Kansas,72,73,1
2018,Mississippi St,TN-Martin,92,61,1
2018,New Mexico,Arizona,73,89,1
2018,Kansas St,SE Missouri St,89,71,1
2018,Texas Tech,Rice,73,53,1
2018,TX-Rio Grande,TX-Arlington,65,86,1
2018,Murray St,Marist,100,63,1
2018,FL-Gulf Coast,Oral Roberts,64,83,1
2018,Weber St,AR-Pine Bluff,96,74,1
2018,Pacific,UNLV,76,81,1
2018,Seattle,Portland,89,76,1
2018,San Diego,North Texas,83,86,1
2018,St Louis,Oregon St,60,63,0
2018,BYU,Utah,77,65,1
2018,George Mason,Penn St,54,72,1
2018,Duquesne,North Carolina A&T,74,58,1
2018,St Josephs,Maine,72,59,1
2018,Sacred Heart,Binghamton,48,51,1
2018,Boston U,Elon,69,77,1
2018,Hampton,Gardner-Webb,79,80,1
2018,LIU-Brooklyn,St Peters,56,71,1
2018,UMBC,Northern Kentucky,76,75,1
2018,Boston College,Central Conn St,84,65,1
2018,Abilene Christian,Lipscomb,65,67,1
2018,Bryant,Siena,68,87,1
2018,Fairfield,Old Dominion,77,82,1
2018,Air Force,Army,54,79,0
2018,Arizona St,Vanderbilt,76,64,1
2018,High Point,Wofford,57,70,0
2018,NC-Wilmington,Furman,84,90,1
2018,Morehead St,Central Arkansas,98,94,1
2018,Providence,Stony Brook,62,60,1
2018,Tennessee,North Carolina,73,78,1
2018,Tennessee Tech,Chattanooga,82,76,1
2018,Baylor,Savannah St,118,86,1
2018,Montana,UC-Riverside,77,61,1
2018,Georgia Tech,Florida A&M,79,54,1
2018,Houston,Prairie View A&M,92,72,1
2018,Southern Illinois,Lamar,71,61,1
2018,St Johns,Iona,69,59,1
2018,La Salle,Mercer,95,85,1
2018,NC-Asheville,Western Carolina,72,76,0
2018,Colorado St,Texas St,66,58,1
2018,Eastern Washington,Cal St-Northridge,86,58,1
2018,Washington,Loyola Marymount,80,77,1
2018,Stanford,San Francisco,71,59,1
2018,San Jose St,South Dakota,62,76,1
2018,USC,UC-Santa Barbara,98,87,1
2018,Delaware St,Delaware,59,68,1
2018,Hawaii,Utah Valley St,70,69,1
2018,Nevada,Radford,77,62,1
2018,Gonzaga,IUPUI,101,71,1
2018,Kent St,Northeastern,69,81,1
2018,Michigan St,Houston Christian,107,62,1
2018,Florida St,Charleston Southern,69,58,1
2018,Coastal Carolina,Wake Forest,80,84,1
2018,East Carolina,Charlotte,50,69,1
2018,South Florida,Northern Arizona,70,56,1
2018,Marquette,Northern Illinois,79,70,1
2018,Kansas,NE-Omaha,109,64,1
2018,Western Michigan,Idaho,52,82,1
2018,American U,Mt St Marys,56,59,1
2018,Jacksonville St,Howard,62,60,1
2018,Drexel,Quinnipiac,72,71,1
2018,Indiana,IPFW,72,92,1
2018,Tulane,Nicholls St,76,69,1
2018,Eastern Kentucky,Norfolk St,83,66,1
2018,Idaho St,Youngstown St,86,62,1
2018,SMU,Boise St,86,63,1
2018,Arizona,North Dakota St,83,53,1
2018,Creighton,TX-Arlington,90,81,1
2018,TCU,TX-Southern,91,72,1
2018,Texas,Tennessee St,47,46,1
2018,Montana St,Denver,79,65,1
2018,Grand Canyon,Miss Valley St,71,38,1
2018,Santa Clara,Valparaiso,68,76,1
2018,Virginia Tech,Presbyterian,63,55,1
2018,Texas A&M,Northern Kentucky,64,58,1
2018,Ole Miss,Texas A&M-CC,85,63,1
2018,Arkansas,Oral Roberts,104,69,1
2018,Mercer,Alabama,79,80,0
2018,Seattle,California,59,81,1
2018,Louisiana,SE Louisiana,82,74,1
2018,Duquesne,Lamar,65,64,1
2018,Illinois St,IL-Chicago,71,70,1
2018,VCU,Winthrop,69,55,1
2018,Richmond,Bucknell,78,86,1
2018,Austin Peay,Troy,75,73,1
2018,Coll of Charleston,South Carolina St,80,64,1
2018,Western Kentucky,Belmont,72,75,1
2018,Wyoming,Northern Colorado,84,91,1
2018,Florida Intl,FL-Gulf Coast,91,88,1
2018,Stetson,UCF,55,74,1
2018,Xavier,Marshall,81,77,1
2018,Clemson,South Carolina,64,48,1
2018,Notre Dame,Dartmouth,97,87,1
2018,Syracuse,Buffalo,81,74,1
2018,North Carolina St,Robert Morris,81,69,1
2018,Ohio St,Citadel,94,65,1
2018,Penn St,Binghamton,80,65,1
2018,Virginia,Savannah St,78,47,1
2018,Pittsburgh,Delaware St,74,68,1
2018,Cincinnati,AR-Pine Bluff,77,49,1
2018,Western Carolina,High Point,61,72,1
2018,Detroit Mercy,East Tennessee St,73,81,1
2018,NC-Greensboro,NC-Asheville,60,67,1
2018,Oklahoma,Northwestern St,105,68,1
2018,Ball St,North Florida,79,65,1
2018,Kennesaw St,GA-Southern,69,78,1
2018,Niagara,Cleveland St,79,77,1
2018,Holy Cross,Iona,68,82,1
2018,Canisius,Elon,67,51,1
2018,LSU,Sam Houston St,80,58,1
2018,Murray St,Auburn,77,81,1
2018,SMU,Cal Poly,84,64,1
2018,Wichita St,Arkansas St,89,80,1
2018,Texas Tech,Florida Atlantic,90,54,1
2018,South Dakota St,Drake,87,74,1
2018,Missouri St,Wright St,66,50,1
2018,Southern Illinois,North Carolina A&T,102,64,1
2018,St Louis,Campbell,74,66,1
2018,Kansas City,Central Michigan,86,92,1
2018,SIU-Edwardsville,Chicago St,88,76,1
2018,Butler,Morehead St,85,69,1
2018,Eastern Illinois,Western Illinois,78,77,1
2018,Georgia,Georgia Tech,80,59,1
2018,Iowa,Southern Utah,92,64,1
2018,Weber St,Pepperdine,72,67,1
2018,Missouri,Stephen F Austin,82,81,1
2018,Oklahoma St,Tulsa,71,59,1
2018,Arizona St,Longwood,95,61,1
2018,UCLA,South Dakota,85,82,1
2018,UTEP,Incarnate Word,72,66,1
2018,Montana,UC-Irvine,86,68,1
2018,New Mexico,Rice,78,69,1
2018,Portland,Hartford,78,67,1
2018,San Francisco,Radford,52,41,1
2018,Washington,Bethune-Cookman,106,55,1
2018,St Marys,Dayton,69,54,1
2018,Nevada,UC-Davis,88,73,1
2018,Sacramento St,Cal St-Northridge,66,61,1
2018,USC,Princeton,93,103,1
2018,Tennessee,Furman,66,61,1
2018,Mississippi St,AR-Little Rock,64,48,1
2018,Florida,James Madison,72,63,1
2018,Vanderbilt,Houston Christian,81,48,1
2018,UAB,New Orleans,74,67,1
2018,George Washington,New Hampshire,68,64,1
2018,UMass,Georgia St,63,71,1
2018,Hampton,Appalachian St,86,53,1
2018,Hofstra,Manhattan,61,63,1
2018,Jacksonville,Northern Arizona,72,83,1
2018,Oakland,Towson,97,86,1
2018,SE Missouri St,Bradley,67,75,1
2018,St Josephs,St Johns,73,77,0
2018,Duke,Evansville,104,40,1
2018,Providence,Houston,59,70,0
2018,Georgetown,North Texas,75,63,1
2018,Seton Hall,Wagner,89,68,1
2018,Iowa St,MD-Eastern Shore,55,49,1
2018,West Virginia,Coppin St,77,38,1
2018,St Bonaventure,Northeastern,84,65,1
2018,Toledo,Jackson St,83,57,1
2018,Ohio,Prairie View A&M,84,65,1
2018,Delaware,Cal St-Bakersfield,76,62,1
2018,Central Conn St,Maine,84,57,1
2018,Cornell,Lafayette,80,71,1
2018,Nebraska,UTSA,104,94,1
2018,Memphis,Siena,70,66,1
2018,Baylor,Southern U,80,60,1
2018,North Carolina,Wofford,75,79,1
2018,Louisville,Albany,70,68,1
2018,Utah,Northwestern St,84,28,1
2018,Creighton,SC-Upstate,116,62,1
2018,Utah St,Youngstown St,91,74,1
2018,UC-Riverside,Valparaiso,73,60,1
2018,Oregon,Central Arkansas,96,82,1
2018,Washington St,Kansas St,65,68,1
2018,UNLV,Miss Valley St,95,63,1
2018,Florida St,Southern Miss,98,45,1
2018,BYU,Idaho St,85,71,1
2018,Kent St,Oregon St,79,78,1
2018,Green Bay,Bowling Green,78,81,1
2018,Northern Illinois,IL-Chicago,69,63,1
2018,Loyola-MD,Drexel,66,62,1
2018,Liberty,IPFW,64,75,0
2018,Jacksonville St,Chattanooga,67,70,1
2018,Tulane,South Alabama,77,73,1
2018,Alabama St,Louisiana Tech,62,74,1
2018,Purdue,Tennessee St,97,48,1
2018,Maryland,Fairleigh Dickinson,75,50,1
2018,Michigan St,Long Beach St,102,60,1
2018,Notre Dame,SE Louisiana,86,50,1
2018,UCF,South Carolina St,89,64,1
2018,Cincinnati,Cleveland St,81,62,1
2018,South Florida,Charlotte,78,76,1
2018,East Carolina,Grambling St,76,68,1
2018,Butler,Western Illinois,107,46,1
2018,Marquette,American U,92,51,1
2018,Kennesaw St,Samford,71,66,1
2018,NC-Wilmington,North Dakota St,63,100,0
2018,Fordham,Florida A&M,79,69,1
2018,Rhode Island,Iona,80,74,1
2018,St Francis-PA,Lehigh,84,70,1
2018,Vermont,Quinnipiac,80,73,1
2018,Harvard,Boston U,74,63,1
2018,Navy,Lipscomb,64,73,1
2018,Indiana,Tennessee Tech,87,59,1
2018,Minnesota,Oral Roberts,77,63,1
2018,NE-Omaha,Montana St,84,71,1
2018,TX-Arlington,Cal Poly,77,56,1
2018,Grand Canyon,Longwood,86,56,1
2018,Sacramento St,Portland,75,80,1
2018,Michigan,Alabama A&M,97,47,1
2018,Texas A&M,Buffalo,89,73,1
2018,Arizona,UConn,73,58,1
2018,DePaul,Miami-OH,83,66,1
2018,UTEP,Howard,69,56,1
2018,Idaho,UC-Irvine,59,67,0
2018,San Diego St,Gonzaga,72,70,1
2018,Santa Clara,San Jose St,63,75,1
2018,Stanford,Kansas,54,75,1
2018,California,Portland St,81,106,1
2018,Syracuse,St Bonaventure,57,60,1
2018,North Carolina St,Jacksonville,116,64,1
2018,Clemson,Louisiana,89,60,1
2018,Loyola Marymount,Cal St-Fullerton,80,88,1
2018,Georgia,Temple,84,66,1
2018,Florida,Incarnate Word,75,60,1
2018,Vanderbilt,Alcorn St,92,51,1
2018,VCU,VMI,75,65,1
2018,Sam Houston St,Utah Valley St,64,75,1
2018,George Mason,Morgan St,86,79,1
2018,St Louis,SE Missouri St,78,48,1
2018,UMass,Maine,74,63,1
2018,Robert Morris,Canisius,62,76,1
2018,Austin Peay,Western Kentucky,55,72,1
2018,UNLV,Northern Colorado,94,91,1
2018,Florida Intl,Hartford,72,79,1
2018,Old Dominion,Norfolk St,61,50,1
2018,Dartmouth,Bryant,75,58,1
2018,Oklahoma St,TX-Rio Grande,102,83,1
2018,Arizona St,Pacific,104,65,1
2018,Texas Tech,Abilene Christian,74,47,1
2018,Brown,Marist,90,69,1
2018,North Carolina A&T,Radford,60,66,0
2018,Lamar,UC-Davis,68,77,0
2018,Princeton,Middle Tenn St,67,69,0
2018,Indiana St,Elon,68,73,1
2018,Davidson,New Mexico St,68,69,0
2018,Providence,Sacred Heart,89,75,1
2018,Oklahoma,Northwestern,104,78,1
2018,Rutgers,Stony Brook,73,75,1
2018,Penn St,Rider,70,71,1
2018,Virginia,Hampton,82,48,1
2018,Pittsburgh,Towson,63,59,1
2018,Ole Miss,Bradley,82,59,1
2018,Wichita St,FL-Gulf Coast,75,65,1
2018,East Tennessee St,GA-Southern,79,59,1
2018,Kansas City,South Dakota St,60,85,1
2018,Binghamton,LIU-Brooklyn,66,74,1
2018,Bucknell,La Salle,88,81,1
2018,Ball St,Jackson St,70,54,1
2018,Central Michigan,SIU-Edwardsville,70,52,1
2018,Oakland,Eastern Michigan,86,81,1
2018,Coastal Carolina,Coll of Charleston,65,67,1
2018,WI-Milwaukee,Western Michigan,63,66,1
2018,Coppin St,Mt St Marys,53,66,1
2018,Detroit Mercy,Murray St,72,81,1
2018,Marshall,Eastern Kentucky,91,71,1
2018,Fairfield,New Hampshire,78,68,1
2018,Yale,Monmouth,64,85,1
2018,Siena,Holy Cross,71,65,1
2018,Nebraska,Delaware St,85,68,1
2018,LSU,North Florida,104,52,1
2018,Northern Iowa,Xavier,67,77,1
2018,Drake,MD-Eastern Shore,81,57,1
2018,Rice,Texas St,66,74,1
2018,TN-Martin,AR-Pine Bluff,74,68,1
2018,San Francisco,Duquesne,65,67,0
2018,Akron,USC,53,84,0
2018,Hofstra,Villanova,71,95,0
2018,Colorado,Iowa,73,80,0
2018,Georgia Tech,Wright St,81,85,1
2018,Alabama,Texas,50,66,0
2018,Washington St,Bethune-Cookman,86,58,1
2018,TCU,William & Mary,86,75,1
2018,Missouri St,Loyola-Chicago,64,59,1
2018,New Mexico,Prairie View A&M,87,78,1
2018,St Marys,NC-Asheville,95,69,1
2018,Washington,Montana,66,63,1
2018,Southern Illinois,Nevada,64,86,0
2018,Hawaii,Miami-FL,57,75,1
2018,NC-Wilmington,Howard,75,80,0
2018,Alabama St,Liberty,70,87,0
2018,IPFW,Louisiana Tech,76,85,0
2018,UTEP,North Dakota St,51,63,1
2018,Louisville,Grand Canyon,74,56,1
2018,BYU,TX-Southern,73,52,1
2018,Nevada,San Francisco,64,66,0
2018,Southern Miss,Mississippi St,64,70,0
2018,Chattanooga,Georgia St,48,71,1
2018,Seattle,Nicholls St,95,89,1
2018,George Washington,Harvard,58,48,1
2018,Memphis,Loyola-MD,83,71,1
2018,Georgetown,Alabama A&M,89,49,1
2018,Seton Hall,Manhattan,74,62,1
2018,West Virginia,Fordham,86,69,1
2018,Wake Forest,Tennessee,60,79,1
2018,Boston College,Richmond,78,73,1
2018,MA-Lowell,Central Conn St,73,76,1
2018,Cornell,Niagara,86,89,1
2018,Ohio St,North Carolina,72,86,0
2018,Evansville,Illinois St,66,72,1
2018,Cleveland St,Toledo,62,77,1
2018,St Peters,St Francis-NY,71,68,1
2018,Auburn,UConn,89,64,1
2018,Dayton,Wagner,79,67,1
2018,UAB,Miss Valley St,74,57,1
2018,Minnesota,Florida Atlantic,95,60,1
2018,Kentucky,UCLA,75,83,0
2018,Colorado St,Long Beach St,68,66,1
2018,Wisconsin,Green Bay,81,60,1
2018,Cal St-Northridge,Idaho St,55,67,1
2018,Missouri,Illinois,64,70,0
2018,Duquesne,Southern Illinois,64,74,0
2018,Sacramento St,UC-Santa Barbara,72,82,1
2018,Hawaii,Davidson,79,71,1
2018,Miami-FL,New Mexico St,54,63,0
2018,Lamar,North Carolina A&T,70,74,0
2018,Akron,Princeton,62,64,0
2018,UC-Davis,Radford,62,72,0
2018,Middle Tenn St,USC,84,89,0
2018,Akron,Davidson,78,91,0
2018,Middle Tenn St,Miami-FL,81,84,0
2018,Hawaii,Princeton,63,77,1
2018,New Mexico St,USC,72,77,0
2018,Arkansas,Cal St-Bakersfield,95,68,1
2018,Pennsylvania,Delaware St,105,52,1
2018,Georgetown,Butler,89,91,1
2018,Syracuse,Eastern Michigan,62,47,1
2018,Rhode Island,FL-Gulf Coast,80,60,1
2018,Georgia Tech,Coppin St,76,62,1
2018,DePaul,Villanova,85,103,1
2018,Marquette,Xavier,87,91,1
2018,Wisconsin,Chicago St,82,70,1
2018,SMU,UCF,56,51,1
2018,Morgan St,Grand Canyon,74,100,0
2018,New Mexico,Air Force,87,58,1
2018,Wyoming,San Diego St,82,69,1
2018,Utah St,San Jose St,86,72,1
2018,Boise St,Colorado St,93,71,1
2018,Fresno St,Nevada,65,80,1
2018,Virginia Tech,North Carolina A&T,76,59,1
2018,BYU,Portland,69,45,1
2018,St Marys,Loyola Marymount,87,59,1
2018,Santa Clara,Pepperdine,72,65,1
2018,San Diego,San Francisco,73,63,1
2018,Nicholls St,Northwestern St,87,46,1
2018,UC-Irvine,New Mexico St,60,65,1
2018,Austin Peay,SIU-Edwardsville,78,58,1
2018,Northern Arizona,Montana,69,87,1
2018,Delaware,Cornell,97,96,1
2018,WI-Milwaukee,Oakland,68,76,1
2018,Marshall,Southern Miss,85,66,1
2018,Western Kentucky,Louisiana Tech,69,68,1
2018,UTSA,Rice,79,66,1
2018,Tulsa,East Carolina,79,53,1
2018,Seton Hall,Creighton,90,84,1
2018,Rutgers,Hartford,58,60,1
2018,Temple,Tulane,75,85,1
2018,South Florida,Houston,60,79,1
2018,St Johns,Providence,72,94,1
2018,Mercer,Kennesaw St,89,56,1
2018,Indiana St,Valparaiso,73,64,1
2018,Albany,Kent St,78,68,1
2018,Buffalo,NJIT,86,81,1
