season,home_team,away_team,home_score,away_score,location
2018,Ohio St,Radford,82,72,1
2018,Rutgers,Central Conn St,71,67,1
2018,Oklahoma,NE-Omaha,108,89,1
2018,Kentucky,Vermont,73,69,1
2018,North Carolina St,Charleston Southern,78,56,1
2018,Iowa,Alabama St,92,58,1
2018,Purdue,Chicago St,111,42,1
2018,SMU,LA-Monroe,83,65,1
2018,California,Cal Poly,85,82,1
2018,Washington St,TX-Southern,86,84,1
2018,Air Force,Texas St,65,57,1
2018,Boise St,Southern Utah,90,69,1
2018,Penn St,Fairleigh Dickinson,81,57,1
2018,San Jose St,San Diego,64,81,1
2018,East Carolina,Coppin St,76,50,1
2018,Lipscomb,Morehead St,77,70,1
2018,Illinois,TN-Martin,77,74,1
2018,Maryland,MD-Eastern Shore,96,43,1
2018,Wisconsin,Yale,89,61,1
2018,Arizona,UMBC,103,78,1
2018,Butler,Princeton,85,75,1
2018,Denver,UC-Irvine,69,83,1
2018,Creighton,Alcorn St,109,72,1
2018,Florida Intl,Stetson,64,70,1
2018,Indiana,Howard,86,77,1
2018,Washington,Eastern Washington,79,69,1
2018,Stanford,Pacific,89,80,1
2018,Hawaii,North Dakota,81,78,1
2018,Pittsburgh,Montana,78,83,1
2018,Florida,Gardner-Webb,116,74,1
2018,Belmont,Vanderbilt,69,60,1
2018,UAB,Chattanooga,89,47,1
2018,Savannah St,East Tennessee St,61,76,1
2018,VCU,North Florida,95,85,1
2018,IL-Chicago,St Josephs,82,86,1
2018,Richmond,Jacksonville St,61,94,1
2018,Pennsylvania,La Salle,71,75,1
2018,Hawaii,Troy,72,67,1
2018,Louisiana Tech,SE Missouri St,96,95,1
2018,Utah St,Montana St,81,73,1
2018,Hofstra,Kennesaw St,75,57,1
2018,AR-Pine Bluff,North Dakota,71,80,0
2018,Evansville,NC-Central,68,55,1
2018,Providence,Minnesota,74,86,1
2018,Ole Miss,Eastern Kentucky,85,75,1
2018,Notre Dame,Mt St Marys,88,62,1
2018,Virginia,Austin Peay,93,49,1
2018,Michigan,Central Michigan,72,65,1
2018,Cincinnati,Western Carolina,102,51,1
2018,South Florida,Morgan St,53,63,1
2018,Oakland,New Orleans,87,68,1
2018,Bowling Green,South Dakota,79,88,1
2018,Fordham,LIU-Brooklyn,81,68,1
2018,Boston U,Albany,74,88,1
2018,Cornell,Binghamton,94,84,1
2018,Quinnipiac,Brown,72,79,1
2018,Siena,FL-Gulf Coast,53,86,1
2018,James Madison,Old Dominion,53,69,1
2018,Marshall,Southern U,83,74,1
2018,GA-Southern,Cal St-Bakersfield,77,53,1
2018,Nebraska,North Texas,86,67,1
